year,ubigeo,distrito,poptot,new_casos,tbpfp,morbi,tbp_new,mdr,xdr,incidencia,tasa_tbpfp,tasa_morbi,tasa_tbp_new
2004,150101,Lima,331357,552,309,649,430,0,0,166.6,93.3,195.9,129.8
2005,150101,Lima,327697,437,266,532,372,0,0,133.4,81.2,162.3,113.5
2006,150101,Lima,324124,433,257,502,353,0,0,133.6,79.3,154.9,108.9
2007,150101,Lima,320628,414,261,494,334,0,0,129.1,81.4,154.1,104.2
2011,150101,Lima,307364,430,264,517,,33,4,139.9,85.9,168.2,0
2012,150101,Lima,286849,332,216,408,,28,2,115.7,75.3,142.2,0
2004,150102,Ancon,30244,49,32,53,45,0,0,162,105.8,175.2,148.8
2005,150102,Ancon,31322,53,30,63,48,0,0,169.2,95.8,201.1,153.2
2006,150102,Ancon,32441,35,25,37,30,0,0,107.9,77.1,114.1,92.5
2007,150102,Ancon,33606,38,20,44,30,0,0,113.1,59.5,130.9,89.3
2011,150102,Ancon,38764,50,31,60,,2,0,129,80,154.8,0
2012,150102,Ancon,39769,50,32,60,,3,0,125.7,80.5,150.9,0
2004,150103,Ate,426529,1065,596,1146,877,0,0,249.7,139.7,268.7,205.6
2005,150103,Ate,443493,1019,604,1162,843,0,0,229.8,136.2,262,190.1
2006,150103,Ate,461136,989,561,1143,841,0,0,214.5,121.7,247.9,182.4
2007,150103,Ate,479537,929,515,1114,782,0,0,193.7,107.4,232.3,163.1
2011,150103,Ate,561499,1021,546,1140,,54,3,181.8,97.2,203,0
2012,150103,Ate,573948,1034,644,1162,,58,4,180.2,112.2,202.5,0
2004,150104,Barranco,38090,27,15,36,22,0,0,70.9,39.4,94.5,57.8
2005,150104,Barranco,37532,36,21,45,31,0,0,95.9,56,119.9,82.6
2006,150104,Barranco,36987,10,4,18,6,0,0,27,10.8,48.7,16.2
2007,150104,Barranco,36455,35,20,41,33,0,0,96,54.9,112.5,90.5
2011,150104,Barranco,34440,33,21,40,,1,0,95.8,61,116.1,0
2012,150104,Barranco,31959,33,21,40,,3,0,103.3,65.7,125.2,0
2004,150105,Brena,89624,122,54,136,105,0,0,136.1,60.3,151.7,117.2
2005,150105,Brena,88854,67,26,80,48,0,0,75.4,29.3,90,54
2006,150105,Brena,88102,91,42,96,77,0,0,103.3,47.7,109,87.4
2007,150105,Brena,87367,66,34,73,54,0,0,75.5,38.9,83.6,61.8
2011,150105,Brena,84577,69,45,82,,6,0,81.6,53.2,97,0
2012,150105,Brena,79456,70,40,86,,3,1,88.1,50.3,108.2,0
2004,150106,Carabayllo,184096,275,157,321,233,0,0,149.4,85.3,174.4,126.6
2005,150106,Carabayllo,192897,321,193,360,272,0,0,166.4,100.1,186.6,141
2006,150106,Carabayllo,202117,240,144,277,197,0,0,118.7,71.2,137,97.5
2007,150106,Carabayllo,211802,257,132,298,198,0,0,121.3,62.3,140.7,93.5
2011,150106,Carabayllo,255753,308,181,331,,12,1,120.4,70.8,129.4,0
2012,150106,Carabayllo,267961,288,190,322,,22,1,107.5,70.9,120.2,0
2004,150107,Chaclacayo,42000,52,35,55,42,0,0,123.8,83.3,131,100
2005,150107,Chaclacayo,42308,63,46,67,53,0,0,148.9,108.7,158.4,125.3
2006,150107,Chaclacayo,42622,49,34,55,43,0,0,115,79.8,129,100.9
2007,150107,Chaclacayo,42944,55,30,60,42,0,0,128.1,69.9,139.7,97.8
2011,150107,Chaclacayo,44308,57,31,64,,2,0,128.6,70,144.4,0
2012,150107,Chaclacayo,43180,78,64,82,,4,1,180.6,148.2,189.9,0
2004,150108,Chorrillos,280488,455,297,520,394,0,0,162.2,105.9,185.4,140.5
2005,150108,Chorrillos,285464,343,195,401,275,0,0,120.2,68.3,140.5,96.3
2006,150108,Chorrillos,290550,413,288,491,349,0,0,142.1,99.1,169,120.1
