depa,year,SUPERF,population,DENSITY,POB15T,POB15P,POB64T,POB64P,TBN,NACIM,TBM,DEFUN,CRECDEM,TGF,POBURB,DEPEN,EVNTOT,EVNHOM,EVNMUJ
Amazonas,2001,39249.13,413500,10.53526537,169733,41.04788392,14880,3.598548972,29,12314,6.6,2729,1.8,3.9,39,80.7,67.7,65.2,70.2
Amazonas,2002,39249.13,428095,10.90712074,169978,39.70567281,15449,3.608778425,29,12314,6.6,2825,1.8,3.9,38.98,76.41,67.7,65.2,70.2
Amazonas,2003,39249.13,435556,11.09721413,176317,40.48090257,17105,3.92716436,29,12631,6.6,2874,1.8,3.8,37.2,79.9,67.7,65.2,70.2
Amazonas,2004,39249.13,443025,11.28751134,177052,39.9643361,17778,4.012866091,29,12848,6.6,2923,1.8,3.8,37.2,78.5,67.7,65.2,70.2
Amazonas,2005,39249.13,450538,11.4789296,177691,39.43973649,18466,4.098655385,29,13066,6.6,2973,1.8,3.8,34.83,77.11,67.7,65.2,70.2
Amazonas,2006,39249.13,389700,9.9288825,150593,38.64331537,18563,4.76340775,26.9,13174,6.2,2416,1.7,3.4,38.54,76.7,69.3,66.7,71.8
Amazonas,2007,39249.13,389700,9.9288825,157096,40.3120349,19516,5.007954837,26.9,11438,6.2,2416,1.7,3.4,44,82.9,69.3,66.7,71.8
Amazonas,2008,39249.13,419550,10.68940891,420415,100.2061733,68726,16.38088428,24.95,10467.77,5.99,2513,0.8,3.13,44.15,75.7,69.52,67.42,71.73
Amazonas,2009,39249.13,411043,10.47266525,135049,32.85520006,18170,4.420462093,24.95,10155,5.99,2438,5.9,3.13,37,59.4,69.5,67.4,71.7
Amazonas,2010,39249,415466,10.58539071,135530,32.62120125,19164,4.612651817,22.41,9367,6.05,2529,0.52,2.8,39.7,59.3,70.56,68.3,72.93
Amazonas,2011,39249.13,417508,10.63738228,135318,32.41087596,19688,4.715598264,22.41,9367,6.05,2529,0.49,3.4,41.1,59.05,70.56,68.3,72.93
Amazonas,2012,39249.13,419404,10.68568908,134891,32.16254494,20241,4.826134229,22.41,9367,6.05,2529,0.5,3.3,42.47,58.7,70.56,68.3,72.93
Ancash,2001,35876.92,1077649,30.03738894,376101,34.9001391,60609,5.624187467,23.1,25244,7.1,7651,0.9,2.9,62.3,68.1,70.1,67.6,72.7
Ancash,2002,35876.92,1107828,30.8785704,374346,33.7909856,62295,5.623165329,23.1,25244,7.1,7866,0.9,2.9,62.35,65.06,70.1,67.6,72.7
Ancash,2003,35876.92,1123410,31.31288862,387741,34.51464737,66164,5.889568368,23.1,25951,7.1,7976,0.9,3.4,60.1,67.8,70.1,67.6,72.7
Ancash,2004,35876.92,1139083,31.74974329,387502,34.01876773,68416,6.00623484,23.1,26313,7.1,8087,0.9,3.4,60.1,66.7,70.1,67.6,72.7
Ancash,2005,35876.92,1154523,32.18010353,386924,33.51375417,70700,6.123741147,23.1,26669,7.1,8197,0.9,3.4,62.32,65.67,70.1,67.6,72.7
Ancash,2006,35876.92,1039415,28.97168988,334195,32.15222024,77659,7.471414209,21,25518,6.9,7171,0.8,2.6,60.54,65.63,71.5,68.9,74.1
Ancash,2007,35876.92,1039415,28.97168988,344485,33.14220018,79612,7.659308361,21,24528,6.9,7171,0.8,2.6,65.4,68.9,71.5,68.9,74.1
Ancash,2008,35876.92,1122416,31.28518279,231735,20.64608844,52631,4.68908141,21.93,24614.58,6.08,6824,0.8,2.85,64.22,64.6,72.76,70.24,75.4
