ubigeo,distrito,year,pobtot,desnutri_croni_5year,sin_agua,seaneamiento,sin_electricidad,quintil_pob,pobreza,extr_pobreza,idh,pob_alfabet,escolaridad,ingreso_familiar,ingreso_mensual,EVN,area,densidad,pob_urb,hijos_prom,Ind_envejec,migrant_lug_nac,migra_res5,analf,analf_hom,analf_muj,seguro_tot,seguro_hom,Seguro_muj,sis,essalud,pea,tasapea,tasapea_hom,tasapea_muj,pea_profe_tec,pea_comercio,pea_agricul,pea_obrero_mina,pea_construccion,pea_ temporales,pea_noespeci,pob_educ_secundaria_compl,annios_educacion
150102,Ancon,2003,30244,,,,,,,,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150103,Ate,2003,426162,,,,,,,,0.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150104,Barranco,2003,38090,,,,,,,,0.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150105,Brena,2003,89624,,,,,,,,0.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150106,Carabayllo,2003,184096,,,,,,,,0.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150107,Chaclacayo,2003,42000,,,,,,,,0.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150108,Chorrillos,2003,280488,,,,,,,,0.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150109,Cieneguilla,2003,20430,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150110,Comas,2003,489675,,,,,,,,0.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150111,El Agustino,2003,182829,,,,,,,,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150112,Independencia,2003,212913,,,,,,,,0.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150113,Jesus Maria,2003,70689,,,,,,,,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150114,La Molina,2003,120194,,,,,,,,0.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150115,La Victoria,2003,215444,,,,,,,,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150101,Lima,2003,331360,,,,,,,,0.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150116,Lince,2003,61108,,,,,,,,0.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150117,Los Olivos,2003,306027,,,,,,,,0.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150118,Lurigancho,2003,153767,,,,,,,,0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150119,Lurin,2003,55721,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150120,Magdalena del Mar,2003,53576,,,,,,,,0.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150122,Miraflores,2003,91114,,,,,,,,0.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150123,Pachacamac,2003,50124,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150124,Pucusana,2003,8562,,,,,,,,0.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150121,Pueblo Libre,2003,79199,,,,,,,,0.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150125,Puente Piedra,2003,194069,,,,,,,,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150126,Punta Hermosa,2003,5171,,,,,,,,0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150127,Punta Negra,2003,4413,,,,,,,,0.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150128,Rimac,2003,191668,,,,,,,,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150129,San Bartolo,2003,5209,,,,,,,,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150130,San Borja,2003,110418,,,,,,,,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150131,San Isidro,2003,63280,,,,,,,,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150132,San Juan de Lurigancho,2003,838088,,,,,,,,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150133,San Juan de Miraflores,2003,357995,,,,,,,,0.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150134,San Luis,2003,56193,,,,,,,,0.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150135,San Martin de Porres,2003,542406,,,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150136,San Miguel,2003,133449,,,,,,,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150137,Santa Anita,2003,171827,,,,,,,,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150138,Santa Maria del Mar,2003,525,,,,,,,,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150139,Santa Rosa,2003,8476,,,,,,,,0.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150140,Santiago de Surco,2003,275711,,,,,,,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150141,Surquillo,2003,94829,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150142,Villa El Salvador,2003,359344,,,,,,,,0.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150143,Villa Maria del Triunfo,2003,360869,,,,,,,,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150102,Ancon,2004,31264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150103,Ate,2004,442048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150104,Barranco,2004,37466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150105,Brena,2004,88699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150106,Carabayllo,2004,192526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150107,Chaclacayo,2004,42232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150108,Chorrillos,2004,284948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150109,Cieneguilla,2004,21969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150110,Comas,2004,494203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150111,El Agustino,2004,184148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150112,Independencia,2004,213911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
