depa,year,MED,MEDTASA,ENF,EFNTASA,OBST,ODON,HOSPN,HOSPTASA,CENTRON,PUESTON,CAMAN,CAMATASA,CAMATASA2,CONSLTASA,EGRESTASA,EGRESTASA2,PARTOSSPORC,ATPRENPORC,ATPARTOPORC,DPT,OPV,BCG,ASO,ACMODPARADOLES,ACMODPARADULT,ACNATPARADOLES,ACNATPARADULT,ACTRAD,ACMOD,ACTOTAL,SEGUROPORC,SISAFILIACN,SISFILIAPORC,SISATENCN,GENEROAFP,COMSALUDN,ESCSALUDN,BUSQAYUDAVIOLEN,GESTFESO4
Amazonas,2001,136,3.3,101,2.4,,,7,0.18,35,254,755,2,20.1,1.8,22.2,221.8,27.3,59.1,28.3,88.4,83.4,66.2,83.8,,,,,,44.3,64.8,,,,,,,,,
Amazonas,2002,141,3.3,103,2.4,,,7,0.18,35,254,755,2,20.1,1.8,22.2,221.8,27.3,59.1,28.3,83.8,83.6,79.4,92.4,,,,,,44.3,64.8,,,,,,,,,
Amazonas,2003,164,3.8,155,3.6,89,34,5,0.11,36,256,470,,,0.7,11.8,,27.3,59.1,28.3,83.5,84.5,79.3,87,,,,,,44.3,64.8,37.5,,,,52.6,,,31.2,
Amazonas,2004,162,3.7,152,3.4,88,34,6,0.14,36,261,519,,,0.6,11.4,,27.3,59.1,28.3,86.5,86.9,91.3,83.3,,,,,,44.3,64.8,42.7,265393,59.9,400635,52.6,,,31.2,
Amazonas,2005,130,2.9,142,3.2,101,25,5,0.11,31,266,520,,,1,20.1,,27.3,59.1,28.3,82.2,82.1,80.4,78.8,,,,,,44.3,64.8,42.73367805,265393,58.9,400635,52.6,,,,
Amazonas,2006,130,3.3,142,3.6,101,25,5,0.13,31,266,520,,,1,20.1,,46.7,,,79.7,79, ,77.8,2.187607608,19.92010083,0.139763819,4.261289325,,,,,332056,85.2,518217,52.6,20,151,,12.22581746
Amazonas,2007,130,3.3,142,3.6,101,25,5,0.13,31,266,520,,,1,20.1,,46.7,,,85.8,93.7,88.8,94,,,,,26.9,41.5,72.3,,311579,80,738096,52.6,20,151,,12.2
Amazonas,2008,187,4.5,165,3.9,100,25,8,0.19,40,314,238,,,1,24.7,,51.9,,,97.5,96.2,83.6,90.2,,,,,28.29541127,43.24598697,74.75928898,,285966,68.2,1046773,,10,151,,6.892813447
Amazonas,2009,216,5.3,232,5.6,184,40,8,0.19,65,418,255,,,1.3,35.6,,64.4,,61.9,44.1,44.2,97.4,38.1,,,,,26.7,50.6,77.3,,345081,84,1056225,,27,213,,78.7
Amazonas,2010,261,6.3,330,7.9,209,53,8,0.19,60,431,645,,,1.7,34.9,,64.6,,67.4,74,79.9,93.5,88.4,,,,,44.8734503,33.07523742,,,346717,83.5,1147394,,,,,
Amazonas,2011,261,6.3,330,7.9,209,53,8,0.19,60,431,645,,,1.7,34.9,,49.3,,57.1,74,74,84.5,84.1,44.4,28.3,,,,,,,353808,84.7,865183,,,,,
Amazonas,2012,290,6.9,405,9.7,275,70,9,0.21,80,429,645,,,1.8,35.1,,63.1,,73.5,75.4,79.8,72.7,86.6,43.7,31.8,,,,,,,305222,72.8,861147,,,,,
Ancash,2001,690,6.4,361,3.3,,0.7,24,0.23,78,310,1107,1.1,10.8,1.9,31.9,319,38.4,78.4,42.1,100,98.5,94.1,95.6,,,,,,40.9,62.5,,,,,,,,,
Ancash,2002,709,6.4,366,3.3,,0.7,24,0.23,78,310,1107,1.1,10.8,1.9,31.9,319,38.4,78.4,42.1,92.3,91.4,86.5,99.5,,,,,,40.9,62.5,,,,,,,,,
Ancash,2003,477,4.2,431,3.8,194,72,15,0.13,66,351,1054,,,0.6,17.8,,38.4,78.4,42.1,91.8,90.3,86.1,93.3,,,,,,40.9,62.5,42.1,,,,44.5,,,22.6,
Ancash,2004,469,4.1,431,3.8,196,70,15,0.13,67,351,1099,,,0.7,22,,38.4,78.4,42.1,88.7,88.5,90.7,87.7,,,,,,40.9,62.5,39.3,354046,31.1,389285,44.5,,,22.6,
Ancash,2005,513,4.4,458,4,223,63,15,0.13,58,347,1093,,,1,30.9,,38.4,78.4,42.1,85.3,78,78.2,84.4,,,,,,40.9,62.5,39.29200376,354046,30.7,389285,44.5,,,,
Ancash,2006,513,4.9,458,4.4,223,63,15,0.14,58,347,1093,,,1,30.9,,85.6,,,95.9,87.1,95.3,100,0.794854881,7.916703759,0.126566623,1.208117343,,,,,415996,40,436220,44.5,10,160,,20.68804483
Ancash,2007,513,4.9,458,4.4,223,63,15,0.14,58,347,1093,,,1,30.9,,85.6,,,94.1,96.2,96.7,100,,,,,28.6,37.5,67.9,,394189,37.9,512603,44.5,10,160,,20.7
Ancash,2008,615,5.5,668,6,224,63,15,0.13,58,339,1994,,,0.7,38.2,,57.1,,,100,100,100,100,,,,,31.514501,36.30725149,69.32309247,,417005,37.2,785215,,9,293,,5.838910604
