region_name,year,IDH,ALFTOT,ALFHOM,ALFMUJ,AGUA,SANEAM,ALUMBR,POBRENBI,POBEXTNBI,POBRELINEA,PROBEXTLINEA,INGNETOMENS,MONOPARMUJ,MONOPARHOM,MEDESCMUJ,PROMESCMUJ,PROMESCHOM,POTENGEN,PORCPEAXCASA,PORCPEADESOCXCASA,IDE,DESAGUE,ADHRATIOMASFEM,AGUASEG
Amazonas,2001,0.515,89.1,94.6,83.7,47.4,54.6,,78,51.5,,,,,,,,,,,,,,,
Amazonas,2002,0.515,82.9,92,73.4,71.3,74.4,34.2,60.5,26.2,74.5,41.1,,,,,,,,,,,,,
Amazonas,2003,0.515,82.9,92,73.4,71.3,74.4,34.2,49.4,,80.4,53.4,158.6,61.7,32.8,4,6.5,6.3,0.53,50.6,5.7,,,,
Amazonas,2004,0.515,88.8,93.4,83.8,71.2,58.1,48.2,,,72.4,36,220.2,,,,7.3,7.6,0.53,,,,,,
Amazonas,2005,0.502,88.8,93.4,83.8,71.2,58.1,48.2,,,60.9,28.9,220.2,,,,7.3,7.6,,,,,,1,
Amazonas,2006,0.554,91.79,96.71,86.31,60,28.5,44.7,,,60.9,28.9,216.4,,,,5.44,6.46,,,,,,1,
Amazonas,2007,0.554,91.8,96.7,86.3,49.4,29.1,46.1,,,59.1,20,216.4,,,,5.44,6.46,,,,,,1,
Amazonas,2008,0.554,88.3,94.2,82,38.3,83.3,47.2,,,59.7,22.1,252.3,,,,7.5,6.9,,,,,,1,
Amazonas,2009,0.574,87.4,93.4,80.7,30.5,2.7,49.7,,,59.8,25,277.7,,,,9.2,8.6,,,,0.528,84,,
Amazonas,2010,0.574,87.9,94.2,81.2,31.6,80,55.4,,,50.1,17,302,,,,,,,,,0.528,,,3.3
Amazonas,2011,0.574,88.3,94.3,82,49.6,87,70.3,,,44.6,14.6,302,,,,,,,,,0.528,,,5.8
Amazonas,2012,0.574,87,88.4,85.6,77,88.3,88.3,,,44.5,14.5,543,,,,,,,,,0.528,,,
Ancash,2001,0.577,82.4,90.6,74.9,59.1,54,,64.1,29.8,,,,,,,,,,,,,,,
Ancash,2002,0.577,80.8,90.7,71.2,76.4,58.3,55.1,40.4,8.6,61.1,33.3,,,,,,,,,,,,,
Ancash,2003,0.577,80.8,90.7,71.2,76.4,58.3,55.1,36.3,,55.5,24.1,254.3,48.4,32.3,3.7,7.5,7.8,0.459,49.8,6.8,,,,
Ancash,2004,0.577,86.2,93.5,79.5,84.9,66.6,65.4,,,56.1,29,278.1,,,,8.3,8.7,0.459,,,,,,
Ancash,2005,0.558,86.2,93.5,79.5,84.9,66.6,65.4,,,55.3,23.4,278.1,,,,8.3,8.7,,,,,,1.07,
Ancash,2006,0.578,84.85,94.98,75.15,78.1,47.4,66.3,,,55.3,23.4,294,,,,5.63,7.9,,,,,,1.07,
