id,cod_dep,year,depa,geo_area,coord_x,coord_y,area_k,pob,atenciones,morbilidad,t_morbi,tot_tb_new,t_incidencia,tbp_to_new,t_tbp_new,to_tbp_bkp,t_incid_tbp_bkp,fall_tb,t_mortalidad,t_letalidad,sr_i,sr_e,sr_e_bkp,sr_dx_tb_bkpn,sri_atenciones,ser_sri,positividad_sre,tb_extrapul,contact_cen,contac_exam,p_cont_exam,contac_tb,p_contac_tb,contac_tb_bk,contac_tb_mdr_exam,contac_tb_mdr_exam_con_tb,cont_19_cen_px_bk,cont_19_con_quimio,qumio_pac_vih,tb_vih,tasa_tb_vih,tb_vih_nuevos,tasa_tb_vih_nuevos,tb_vih_pulm,tasa_tb_vih_pulm,tb_vih_antes_tratado,tasa_tb_vih_antes_tratado,tb_mdr,tb_xdr,t_mdr,t_xdr,Individ_tx,Estand_tx,Emp_tx,total_retra,gestante,trabajador_salud,diabetes,lab_bk
1,1,1997,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,383605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2,1,1998,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,383605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,,,
3,1,1999,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,398582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
4,1,2000,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,406060,,137.00,33.74,128.00,31.52,118.00,29.06,99.00,24.38,4.00,0.99,2.92,14513.00,14466.00,109.00,238.00,,99.68,0.75,10.00,,102.00,,,,,,,,32.00,4.00,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
5,1,2001,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,406060,,175.00,43.10,168.00,41.37,150.00,36.94,122.00,30.05,3.00,0.74,1.71,17989.00,17989.00,123.00,131.00,4.17,100.00,0.68,18.00,168.00,,,,,,,,,61.00,1.00,,,,,,,,,,0.00,0.00,0.00,1.00,0.00,0.00,1.00,,,,
6,1,2002,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,420995,,155.00,36.82,143.00,33.97,123.00,29.22,100.00,23.75,10.00,2.38,6.45,18235.00,18159.00,99.00,120.00,4.08,99.58,0.55,20.00,,,,,,,,,,25.00,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
7,1,2003,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,428524,356946.00,146.00,34.07,135.00,31.50,119.00,27.77,105.00,24.50,6.00,1.40,4.11,14403.00,14338.00,104.00,135.00,4.04,99.55,0.73,16.00,135.00,,,,,,,,,67.00,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,1.00,0.00,1.00,,,,
8,1,2004,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,443025,356946.00,134.00,30.25,120.00,27.09,109.00,24.60,78.00,17.61,4.00,0.90,2.99,14148.00,14110.00,89.00,112.00,3.96,99.73,0.63,11.00,135.00,128.00,94.82,0.00,0.00,0.00,,,50.00,49.00,1.00,,,,,,,,,,0.00,0.00,0.00,0.00,1.00,0.00,1.00,,,,
9,1,2005,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,443025,367912.00,153.00,34.54,136.00,30.70,122.00,27.54,97.00,21.90,6.00,1.35,3.92,13555.00,13422.00,110.00,124.00,3.68,99.02,0.82,14.00,141.00,141.00,100.00,1.00,0.71,1.00,,,47.00,45.00,0.00,,,,,,,,,1.00,0.00,0.23,0.00,0.00,2.00,0.00,2.00,,,,
10,1,2006,Amazonas,Jungle,-78.05059179,-5.074019543,39657.73,458096,298851.00,133.00,29.03,124.00,27.07,112.00,24.45,96.00,20.96,5.00,1.09,3.76,13202.00,13071.00,95.00,101.00,4.42,99.01,0.73,12.00,362.00,341.00,94.20,0.00,0.00,0.00,,,143.00,141.00,8.00,,,,,,,,,1.00,0.00,0.22,0.00,1.00,2.00,0.00,3.00,,,,
