CLUSTER             LOC_ID                          LATITUDE            LONGITUDE           RADIUS              START_DATE        END_DATE          NUMBER_LOC          LLR                 P_VALUE             RECURR_INT          OBSERVED            EXPECTED            ODE                 REL_RISK            GINI_CLUST
1                   150141                          -12.113550          -77.013100          3.50                2006/1/1          2007/12/31        6                   656.895555          0.0001000           3652500             712                 2125.62             0.33                0.32                F 
2                   150111                          -12.039430          -76.987450          4.87                2006/1/1          2007/12/31        4                   343.303895          0.0001000           3652500             3211                1972.55             1.63                1.67                F 
3                   150121                          -12.075010          -77.065650          2.76                2006/1/1          2007/12/31        5                   234.301860          0.0001000           3652500             620                 1315.38             0.47                0.46                F 
4                   150103                          -12.032490          -76.878400          8.02                2006/1/1          2007/12/31        2                   180.130340          0.0001000           3652500             1115                1859.02             0.60                0.59                F 
5                   150135                          -11.993530          -77.088530          0                   2006/1/1          2007/12/31        1                   95.955315           0.0001000           3652500             1253                1798.59             0.70                0.69                F 
6                   150124                          -12.466230          -76.775020          26.02               2006/1/1          2007/12/31        6                   36.549734           0.0001000           3652500             146                 274.61              0.53                0.53                F 
7                   150128                          -12.023350          -77.032660          3.56                2006/1/1          2007/12/31        2                   34.169658           0.0001000           3652500             1270                1582.42             0.80                0.80                F 
8                   150102                          -11.701260          -77.098290          16.90               2006/1/1          2007/12/31        3                   24.977306           0.0001000           3652500             586                 772.58              0.76                0.76                F 
9                   150142                          -12.218040          -76.944630          0                   2006/1/1          2007/12/31        1                   18.007005           0.0001000           3652500             1397                1187.24             1.18                1.18                F 
10                  150143                          -12.169940          -76.919250          5.51                2007/1/1          2007/12/31        2                   7.792084            0.01770             20636               1046                1177.25             0.89                0.89                F 
