LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
150101                          1836                2020.37             0.91                0.91                
150102                          175                 197.77              0.88                0.88                
150103                          3102                2806.13             1.11                1.11                
150104                          108                 230.99              0.47                0.47                
150105                          346                 548.48              0.63                0.63                
150106                          1093                1225.74             0.89                0.89                
150107                          219                 263.25              0.83                0.83                
150108                          1648                1785.65             0.92                0.92                
150109                          114                 142.15              0.80                0.80                
150110                          3378                3086.36             1.09                1.10                
150111                          2147                1148.84             1.87                1.91                
150112                          1525                1332.80             1.14                1.15                
150113                          158                 434.14              0.36                0.36                
150114                          222                 785.86              0.28                0.28                
150115                          2136                1308.87             1.63                1.66                
150116                          270                 372.56              0.72                0.72                
150117                          2161                1959.32             1.10                1.11                
150118                          1257                1005.01             1.25                1.26                
150119                          208                 367.50              0.57                0.56                
150120                          189                 331.33              0.57                0.57                
150121                          236                 487.33              0.48                0.48                
150122                          112                 561.76              0.20                0.20                
150123                          389                 354.47              1.10                1.10                
150124                          37                  58.46               0.63                0.63                
150125                          1248                1310.08             0.95                0.95                
150126                          11                  33.94               0.32                0.32                
150127                          25                  29.73               0.84                0.84                
150128                          958                 1175.33             0.82                0.81                
150129                          33                  34.20               0.96                0.96                
150130                          227                 683.87              0.33                0.33                
150131                          53                  387.80              0.14                0.14                
150132                          7344                5428.11             1.35                1.42                
150133                          2358                2271.07             1.04                1.04                
150134                          340                 351.38              0.97                0.97                
150135                          2644                3508.85             0.75                0.74                
150136                          417                 833.05              0.50                0.50                
150137                          1707                1113.11             1.53                1.55                
150138                          0                   3.93                0                   0                   
150139                          41                  58.61               0.70                0.70                
150140                          768                 1771.76             0.43                0.42                
150141                          393                 585.80              0.67                0.67                
150142                          2989                2318.58             1.29                1.31                
150143                          2410                2317.67             1.04                1.04                
