CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 REL_RISK            
1                   1                   1                   712                 2125.62             0.33                0.32                
2                   1                   1                   3211                1972.55             1.63                1.67                
3                   1                   1                   620                 1315.38             0.47                0.46                
4                   1                   1                   1115                1859.02             0.60                0.59                
5                   1                   1                   1253                1798.59             0.70                0.69                
6                   1                   1                   146                 274.61              0.53                0.53                
7                   1                   1                   1270                1582.42             0.80                0.80                
8                   1                   1                   586                 772.58              0.76                0.76                
9                   1                   1                   1397                1187.24             1.18                1.18                
10                  1                   1                   1046                1177.25             0.89                0.89                
