LOC_ID                          CLUSTER             P_VALUE             RECURR_INT          CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              GINI_CLUST
150141                          1                   0.0001000           3652500             375                 1106.74             0.34                0.33                187                 292.36              0.64                0.64                F 
150122                          1                   0.0001000           3652500             375                 1106.74             0.34                0.33                50                  279.76              0.18                0.18                F 
150130                          1                   0.0001000           3652500             375                 1106.74             0.34                0.33                104                 342.23              0.30                0.30                F 
150131                          1                   0.0001000           3652500             375                 1106.74             0.34                0.33                34                  192.39              0.18                0.18                F 
150140                          2                   0.0001000           3652500             292                 905.05              0.32                0.32                292                 905.05              0.32                0.32                F 
150136                          3                   0.0001000           3652500             463                 1043.52             0.44                0.44                186                 418.08              0.44                0.44                F 
150121                          3                   0.0001000           3652500             463                 1043.52             0.44                0.44                111                 243.10              0.46                0.46                F 
150120                          3                   0.0001000           3652500             463                 1043.52             0.44                0.44                81                  165.66              0.49                0.49                F 
150113                          3                   0.0001000           3652500             463                 1043.52             0.44                0.44                85                  216.68              0.39                0.39                F 
150111                          4                   0.0001000           3652500             1869                1150.25             1.62                1.65                1026                578.93              1.77                1.79                F 
150137                          4                   0.0001000           3652500             1869                1150.25             1.62                1.65                843                 571.33              1.48                1.48                F 
150114                          5                   0.0001000           3652500             97                  405.57              0.24                0.24                97                  405.57              0.24                0.24                F 
150115                          6                   0.0001000           3652500             1157                645.76              1.79                1.81                1157                645.76              1.79                1.81                F 
150124                          7                   0.0001000           3652500             146                 274.61              0.53                0.53                21                  30.93               0.68                0.68                F 
150138                          7                   0.0001000           3652500             146                 274.61              0.53                0.53                0                   2.19                0                   0                   F 
150129                          7                   0.0001000           3652500             146                 274.61              0.53                0.53                14                  17.69               0.79                0.79                F 
150127                          7                   0.0001000           3652500             146                 274.61              0.53                0.53                10                  15.61               0.64                0.64                F 
150126                          7                   0.0001000           3652500             146                 274.61              0.53                0.53                3                   17.56               0.17                0.17                F 
150119                          7                   0.0001000           3652500             146                 274.61              0.53                0.53                98                  190.63              0.51                0.51                F 
150105                          8                   0.0001000           3652500             157                 271.86              0.58                0.58                157                 271.86              0.58                0.58                F 
150102                          9                   0.0001000           3652500             586                 772.58              0.76                0.76                73                  102.07              0.72                0.71                F 
150139                          9                   0.0001000           3652500             586                 772.58              0.76                0.76                16                  31.23               0.51                0.51                F 
150106                          9                   0.0001000           3652500             586                 772.58              0.76                0.76                497                 639.29              0.78                0.78                F 
150128                          10                  0.0001000           3652500             423                 583.32              0.73                0.72                423                 583.32              0.73                0.72                F 
150118                          11                  0.0001000           3652500             685                 518.56              1.32                1.33                685                 518.56              1.32                1.33                F 
150142                          12                  0.0001000           3652500             1397                1187.24             1.18                1.18                1397                1187.24             1.18                1.18                F 
150101                          13                  0.0003000           1217500             847                 999.10              0.85                0.84                847                 999.10              0.85                0.84                F 
150109                          14                  0.001500            243500              147                 208.44              0.71                0.70                43                  75.99               0.57                0.57                F 
150107                          14                  0.001500            243500              147                 208.44              0.71                0.70                104                 132.45              0.79                0.78                F 
150133                          15                  0.003300            110682              481                 579.44              0.83                0.83                481                 579.44              0.83                0.83                F 
150112                          16                  0.9587              381                 725                 670.05              1.08                1.08                725                 670.05              1.08                1.08                F 
150108                          17                  0.9911              369                 850                 907.01              0.94                0.94                850                 907.01              0.94                0.94                F 
